Customer_ID,Appliance_Type,Power_Rating,Usage_Duration,Usage_Time_Start,Usage_Time_End,User_Preferences,Seasonal_Variation
0,Computer,346,6.86,18,0,High Performance,Medium
1,Computer,397,1.83,19,20,Balanced,Low
2,Heater,1429,5.69,22,3,Balanced,High
3,Washing Machine,657,7.27,16,23,Balanced,Low
4,TV,87,1.59,5,6,Energy Saving,Low
5,Heater,1623,1.78,11,12,Balanced,Medium
6,Microwave,1042,2.35,6,8,Energy Saving,Medium
7,Dishwasher,1296,0.71,18,18,Balanced,Medium
8,TV,106,3.05,8,11,Balanced,High
9,Heater,1797,3.7,16,19,Energy Saving,Medium
10,Dishwasher,1643,4.18,18,22,Energy Saving,Low
11,Computer,270,3.72,16,19,Balanced,High
12,TV,115,4.67,2,6,High Performance,High
13,TV,211,3.49,17,20,Energy Saving,Low
14,Microwave,1125,3.79,11,14,High Performance,Low
15,Air Conditioner,2199,4.47,8,12,Energy Saving,Medium
16,Dishwasher,1390,3.93,22,1,Balanced,High
17,Heater,2178,3.32,23,2,Energy Saving,Low
18,TV,241,5.68,6,11,Energy Saving,Low
19,Dishwasher,1536,7.14,9,16,High Performance,High
20,TV,154,2.53,4,6,High Performance,Medium
21,Computer,328,4.66,23,3,Balanced,Low
22,Computer,342,3.97,7,10,Balanced,Medium
23,Microwave,1331,3.86,13,16,Balanced,Low
24,Dishwasher,1565,3.67,17,20,High Performance,Low
25,Computer,244,3.53,19,22,Energy Saving,Medium
26,Heater,1992,2.52,21,23,Balanced,High
27,Washing Machine,592,6.69,7,13,High Performance,High
28,Microwave,952,1.12,22,23,Energy Saving,Low
29,Fridge,115,4.4,2,6,High Performance,High
30,Heater,2347,5.88,23,4,High Performance,Medium
31,Microwave,1227,2.13,7,9,Energy Saving,Medium
32,TV,185,4.32,18,22,High Performance,Medium
33,Heater,1501,6.21,22,4,Energy Saving,High
34,Microwave,1439,2.8,5,7,Energy Saving,Low
35,Fridge,130,1.09,12,13,Balanced,Medium
36,Dishwasher,1364,3.52,16,19,High Performance,Low
37,Dishwasher,1597,3.49,20,23,Balanced,Low
38,Air Conditioner,1621,6.85,1,7,Balanced,Low
39,Dishwasher,1491,5.85,7,12,High Performance,Low
40,Fridge,167,2.91,2,4,High Performance,High
41,Washing Machine,531,5.68,23,4,High Performance,Low
42,TV,156,4.59,1,5,Energy Saving,Low
43,Air Conditioner,2644,5.06,16,21,Balanced,Medium
44,Dishwasher,1718,7.19,1,8,High Performance,Medium
45,Dishwasher,1391,5.84,12,17,Energy Saving,High
46,Dishwasher,1598,4.72,10,14,High Performance,Low
47,Microwave,1176,6.55,10,16,Energy Saving,High
48,Heater,1971,1.99,9,10,High Performance,Medium
49,Computer,306,3.14,0,3,High Performance,Low
50,Fridge,142,5.18,11,16,High Performance,Medium
51,Fridge,169,3.19,22,1,Energy Saving,Low
52,Computer,271,2.23,19,21,Energy Saving,Medium
53,TV,291,4.56,21,1,High Performance,High
54,Dishwasher,1215,4.99,10,14,Energy Saving,Medium
55,Washing Machine,526,4.04,9,13,Balanced,High
56,TV,225,3.4,7,10,Energy Saving,Low
57,Air Conditioner,2197,4.39,22,2,High Performance,High
58,Heater,1793,7.54,16,23,Balanced,Medium
59,Heater,2459,4.71,10,14,Balanced,High
60,Heater,1708,6.74,8,14,Energy Saving,High
61,Fridge,127,0.88,8,8,Balanced,Medium
62,Dishwasher,1381,5.5,3,8,High Performance,Low
63,Microwave,1044,1.82,6,7,Balanced,Low
64,Heater,1482,3.74,4,7,Energy Saving,Low
65,Dishwasher,1690,2.88,13,15,High Performance,High
66,Heater,2083,3.25,22,1,High Performance,High
67,Dishwasher,1260,5.76,9,14,Balanced,Low
68,Air Conditioner,2913,7.69,7,14,Balanced,Low
69,Fridge,134,7.53,19,2,High Performance,Low
70,TV,75,6.98,23,5,Energy Saving,Low
71,Heater,1363,6.4,15,21,Balanced,Medium
72,Heater,1318,0.56,0,0,Energy Saving,High
73,Air Conditioner,2688,6.96,16,22,High Performance,Medium
74,Heater,2229,6.53,23,5,High Performance,High
75,Fridge,130,0.64,5,5,High Performance,High
76,Air Conditioner,3461,3.07,7,10,High Performance,Low
77,Air Conditioner,2436,7.38,11,18,Balanced,Low
78,Fridge,171,0.73,3,3,Energy Saving,High
79,Fridge,163,2.02,21,23,High Performance,High
80,Air Conditioner,2752,6.45,7,13,Balanced,Medium
81,Heater,2209,7.06,22,5,Energy Saving,High
82,Dishwasher,1627,3.8,7,10,Balanced,Medium
83,Air Conditioner,2209,7.11,15,22,High Performance,Low
84,TV,282,3.66,18,21,High Performance,High
85,Computer,343,4.16,2,6,Energy Saving,High
86,Fridge,141,2.88,20,22,Energy Saving,High
87,Computer,296,6.91,22,4,High Performance,Medium
88,TV,395,7.96,3,10,Balanced,High
89,Fridge,193,7.65,0,7,Balanced,High
90,Fridge,199,1.78,6,7,Balanced,Medium
91,Heater,1320,1.52,14,15,High Performance,High
92,TV,153,1.45,8,9,High Performance,Medium
93,Dishwasher,1671,1.82,14,15,Energy Saving,High
94,Air Conditioner,3319,3.0,22,1,Balanced,Low
95,Fridge,190,7.39,21,4,High Performance,Medium
96,Heater,2221,7.55,20,3,High Performance,High
97,Heater,1081,7.1,6,13,Energy Saving,High
98,Dishwasher,1280,6.36,21,3,Energy Saving,Medium
99,Heater,1932,4.39,11,15,High Performance,High
100,Dishwasher,1237,2.35,10,12,High Performance,High
101,Heater,2178,1.55,12,13,Energy Saving,Low
102,Air Conditioner,3080,2.74,3,5,Balanced,Low
103,Heater,2178,7.41,16,23,Balanced,High
104,Heater,1251,5.16,0,5,Energy Saving,High
105,TV,201,4.13,23,3,High Performance,High
106,Air Conditioner,2002,2.65,22,0,Balanced,Low
107,Washing Machine,996,1.43,2,3,Balanced,Medium
108,TV,337,2.1,13,15,Balanced,Medium
109,Fridge,176,1.13,3,4,Energy Saving,Medium
110,Heater,2147,4.42,7,11,Balanced,Medium
111,Computer,376,5.78,5,10,Energy Saving,High
112,Computer,284,6.06,14,20,Balanced,High
113,Heater,1047,7.47,22,5,High Performance,High
114,Washing Machine,654,6.78,9,15,High Performance,Low
115,Microwave,1248,5.01,22,3,Energy Saving,Low
116,Washing Machine,545,3.96,7,10,Balanced,Low
117,TV,341,1.75,18,19,High Performance,Low
118,Washing Machine,529,7.99,20,3,High Performance,Low
119,Microwave,1435,6.7,11,17,High Performance,High
120,Dishwasher,1258,7.09,12,19,Balanced,Medium
121,Air Conditioner,1844,4.77,12,16,High Performance,Medium
122,TV,129,5.62,13,18,Energy Saving,High
123,Heater,1730,1.94,3,4,Energy Saving,High
124,TV,222,6.07,17,23,Balanced,Medium
125,Fridge,116,1.91,2,3,Balanced,Low
126,Microwave,1432,3.74,3,6,Energy Saving,High
127,Washing Machine,575,2.41,18,20,High Performance,Medium
128,Computer,302,2.4,5,7,Balanced,High
129,TV,114,7.91,12,19,High Performance,High
130,Air Conditioner,2742,4.9,13,17,Energy Saving,Low
131,Fridge,149,7.76,21,4,High Performance,High
132,Heater,1977,5.97,11,16,High Performance,High
133,Washing Machine,737,5.49,2,7,Balanced,Low
134,Air Conditioner,2647,2.96,3,5,Balanced,Low
135,Microwave,1285,7.23,10,17,Balanced,Medium
136,Computer,363,6.26,7,13,High Performance,Medium
137,Heater,1564,7.51,4,11,Balanced,Medium
138,TV,204,5.6,22,3,Balanced,Medium
139,Microwave,1267,0.95,5,5,High Performance,Low
140,Microwave,1250,1.13,17,18,High Performance,Low
141,Microwave,1284,5.35,8,13,Energy Saving,High
142,Fridge,106,7.38,19,2,Balanced,Medium
143,Washing Machine,782,1.11,14,15,Balanced,Medium
144,TV,191,6.87,3,9,Energy Saving,Medium
145,Fridge,144,2.42,5,7,High Performance,Medium
146,Fridge,145,2.02,5,7,Energy Saving,Medium
147,Heater,1210,1.52,14,15,High Performance,Medium
148,Microwave,1083,7.16,18,1,High Performance,High
149,Washing Machine,683,4.71,13,17,Balanced,Medium
150,Heater,1196,6.47,22,4,Energy Saving,Low
151,Computer,358,5.97,21,2,Balanced,Medium
152,Washing Machine,927,5.03,4,9,Balanced,Medium
153,Microwave,1050,4.44,22,2,High Performance,High
154,TV,205,3.26,20,23,High Performance,Medium
155,Fridge,168,4.44,22,2,High Performance,Low
156,Fridge,158,0.74,14,14,Balanced,Medium
157,TV,379,1.29,10,11,Balanced,High
158,Heater,1016,7.04,12,19,Energy Saving,High
159,Heater,1712,4.05,5,9,Energy Saving,High
160,Air Conditioner,3325,7.06,8,15,Balanced,High
161,Computer,269,6.57,6,12,High Performance,High
162,Microwave,1443,2.42,19,21,Balanced,Low
163,Microwave,969,6.67,13,19,Balanced,Medium
164,Air Conditioner,1933,4.59,2,6,Energy Saving,Low
165,Heater,1783,4.93,13,17,Balanced,Medium
166,Heater,1515,1.91,3,4,High Performance,Medium
167,TV,301,6.96,22,4,Balanced,High
168,Heater,1006,5.12,20,1,Balanced,Low
169,Computer,306,4.46,20,0,Energy Saving,High
170,Air Conditioner,3079,4.08,19,23,Energy Saving,High
171,Heater,1469,1.97,23,0,High Performance,Low
172,Microwave,1272,7.74,15,22,Balanced,High
173,Air Conditioner,3206,1.6,23,0,Energy Saving,High
174,Dishwasher,1211,1.76,12,13,Energy Saving,High
175,Dishwasher,1702,4.13,17,21,High Performance,Low
176,Air Conditioner,1615,0.68,6,6,Energy Saving,Medium
177,Air Conditioner,2530,6.91,18,0,Balanced,High
178,Heater,2448,6.01,6,12,Balanced,Low
179,Microwave,1455,2.57,13,15,Energy Saving,High
180,Dishwasher,1770,2.16,14,16,Balanced,Low
181,Air Conditioner,2265,6.48,11,17,Balanced,Medium
182,Fridge,172,6.07,14,20,Energy Saving,Low
183,Washing Machine,730,1.61,19,20,Balanced,High
184,Washing Machine,975,3.08,23,2,Energy Saving,High
185,Dishwasher,1405,6.94,2,8,Energy Saving,Medium
186,TV,54,4.98,10,14,Energy Saving,High
187,Heater,1070,4.36,19,23,High Performance,Medium
188,Computer,282,2.41,15,17,Balanced,Low
189,Computer,280,4.64,8,12,Balanced,High
190,Fridge,144,2.01,5,7,Energy Saving,High
191,TV,258,5.51,15,20,Energy Saving,High
192,Microwave,1373,5.32,11,16,Energy Saving,Medium
193,Washing Machine,665,4.0,0,4,Balanced,Low
194,Fridge,131,7.26,14,21,High Performance,Low
195,Air Conditioner,3361,6.16,22,4,Balanced,High
196,Fridge,112,1.64,2,3,High Performance,High
197,Air Conditioner,2906,2.94,15,17,High Performance,Low
198,Dishwasher,1418,2.9,7,9,High Performance,Low
199,TV,351,1.99,16,17,Energy Saving,High
200,Microwave,1298,4.43,11,15,Balanced,Low
201,Computer,332,5.33,15,20,Balanced,Low
202,Microwave,938,2.66,23,1,High Performance,Low
203,Fridge,166,1.72,9,10,Energy Saving,Medium
204,Computer,257,1.97,23,0,High Performance,Low
205,Heater,1304,1.06,8,9,High Performance,High
206,Air Conditioner,2109,5.67,16,21,High Performance,Medium
207,Heater,1877,2.59,17,19,Balanced,Low
208,Computer,235,0.99,5,5,Balanced,Medium
209,TV,54,3.02,8,11,Balanced,Low
210,Washing Machine,574,1.75,16,17,Energy Saving,Low
211,Microwave,1188,5.12,22,3,High Performance,Low
212,Air Conditioner,2645,5.16,11,16,Balanced,Medium
213,Heater,1087,2.74,7,9,Balanced,High
214,Microwave,1208,4.77,14,18,High Performance,High
215,TV,315,7.9,15,22,High Performance,High
216,Heater,1823,4.3,2,6,Energy Saving,Low
217,Heater,2208,3.22,9,12,High Performance,High
218,Heater,2204,2.24,10,12,Energy Saving,High
219,Washing Machine,646,4.64,4,8,High Performance,Low
220,Dishwasher,1433,6.0,3,9,Balanced,Low
221,Computer,206,6.8,7,13,Energy Saving,High
222,Fridge,118,6.43,8,14,Balanced,Low
223,Computer,291,5.06,2,7,Balanced,Medium
224,Microwave,1456,3.49,20,23,Energy Saving,Medium
225,Microwave,1320,5.79,23,4,Energy Saving,High
226,Computer,320,6.82,20,2,Balanced,High
227,Fridge,100,7.09,12,19,Energy Saving,Low
228,Dishwasher,1505,1.49,0,1,Balanced,Low
229,Washing Machine,779,3.65,0,3,Energy Saving,High
230,Washing Machine,823,5.75,2,7,High Performance,Low
231,TV,231,4.03,10,14,Energy Saving,High
232,Fridge,118,4.53,15,19,Energy Saving,Low
233,TV,319,2.73,20,22,Energy Saving,Medium
234,TV,230,5.69,5,10,High Performance,Medium
235,Heater,2460,4.56,7,11,Energy Saving,Low
236,Dishwasher,1703,6.73,12,18,Energy Saving,Medium
237,Heater,1362,3.2,18,21,High Performance,High
238,Fridge,139,0.94,10,10,High Performance,Medium
239,Heater,1246,1.17,2,3,Energy Saving,High
240,Heater,1454,4.13,12,16,Energy Saving,High
241,Computer,246,2.79,17,19,Balanced,High
242,Heater,2447,5.67,16,21,High Performance,Low
243,Microwave,849,2.73,0,2,High Performance,Low
244,Air Conditioner,2066,7.08,21,4,High Performance,Medium
245,Air Conditioner,3471,7.08,22,5,Energy Saving,Low
246,TV,229,5.77,13,18,Balanced,High
247,Air Conditioner,3288,1.56,8,9,Balanced,Low
248,TV,126,4.5,11,15,Balanced,Low
249,Fridge,130,6.89,11,17,Balanced,High
250,Microwave,837,5.77,19,0,High Performance,Medium
251,Computer,362,5.8,4,9,High Performance,Medium
252,Microwave,1359,4.94,10,14,Balanced,Low
253,Computer,344,2.79,21,23,Balanced,Low
254,Dishwasher,1275,2.02,11,13,Energy Saving,High
255,Computer,202,3.51,19,22,High Performance,High
256,TV,330,7.72,16,23,Energy Saving,High
257,Fridge,160,7.43,0,7,Balanced,High
258,Dishwasher,1331,7.42,17,0,Balanced,Medium
259,Computer,355,1.92,7,8,Balanced,Medium
260,Microwave,1109,3.83,13,16,High Performance,Low
261,Air Conditioner,3312,1.26,14,15,High Performance,Medium
262,TV,244,2.78,0,2,Balanced,Medium
263,Heater,1775,0.84,12,12,Balanced,Medium
264,Washing Machine,911,7.33,20,3,High Performance,Medium
265,Fridge,142,2.87,21,23,Energy Saving,High
266,TV,219,0.98,21,21,Balanced,Medium
267,TV,66,4.2,3,7,Balanced,Medium
268,Computer,244,5.77,15,20,High Performance,High
269,Dishwasher,1722,5.89,2,7,Balanced,Low
270,Microwave,1361,1.36,13,14,Energy Saving,Low
271,Computer,294,6.86,20,2,High Performance,High
272,Washing Machine,517,7.23,10,17,Balanced,Medium
273,Fridge,194,7.85,17,0,High Performance,High
274,Fridge,195,7.9,1,8,Balanced,Low
275,Air Conditioner,2540,4.07,17,21,Balanced,Medium
276,Microwave,1168,7.42,20,3,Energy Saving,Low
277,Microwave,932,2.45,8,10,High Performance,Low
278,Washing Machine,659,1.34,18,19,High Performance,High
279,Computer,365,5.81,6,11,Balanced,High
280,Dishwasher,1649,2.31,23,1,High Performance,Low
281,Computer,327,4.5,16,20,Energy Saving,High
282,Washing Machine,736,5.24,2,7,Energy Saving,High
283,Dishwasher,1363,3.25,12,15,High Performance,Low
284,Heater,2409,6.5,4,10,Balanced,Low
285,Fridge,122,2.89,15,17,Energy Saving,Low
286,Washing Machine,763,4.36,1,5,High Performance,Low
287,TV,341,7.78,18,1,Balanced,High
288,TV,220,0.57,3,3,Energy Saving,High
289,Air Conditioner,1628,2.64,9,11,High Performance,Low
290,Fridge,107,6.27,9,15,High Performance,High
291,Dishwasher,1387,1.9,0,1,High Performance,Low
292,TV,241,5.4,9,14,Balanced,Medium
293,Fridge,186,1.91,6,7,Energy Saving,Low
294,Heater,1671,4.99,23,3,Balanced,Low
295,Washing Machine,574,5.43,18,23,Balanced,Medium
296,Heater,2278,5.81,8,13,Balanced,Low
297,Air Conditioner,3436,3.13,4,7,Balanced,Low
298,Computer,281,2.09,12,14,Balanced,High
299,Microwave,1417,1.51,1,2,Energy Saving,High
300,Fridge,129,1.38,23,0,Energy Saving,High
301,Washing Machine,720,1.83,19,20,Balanced,Low
302,Computer,345,3.67,17,20,Balanced,Low
303,Air Conditioner,1761,4.83,0,4,High Performance,High
304,Computer,389,1.26,0,1,High Performance,Medium
305,Dishwasher,1782,3.57,3,6,Balanced,Medium
306,Dishwasher,1799,5.79,21,2,Energy Saving,Low
307,Computer,286,5.61,0,5,High Performance,High
308,Air Conditioner,2332,5.89,3,8,High Performance,Low
309,Microwave,1135,3.31,3,6,Energy Saving,Medium
310,Computer,228,2.81,6,8,Energy Saving,Medium
311,Air Conditioner,1508,7.31,1,8,Balanced,High
312,Fridge,143,6.55,5,11,Balanced,Medium
313,Air Conditioner,2679,7.28,8,15,Balanced,Low
314,Microwave,1365,7.14,14,21,Balanced,Low
315,Fridge,142,1.21,4,5,High Performance,Medium
316,Dishwasher,1400,7.17,13,20,Balanced,Medium
317,Microwave,1067,3.59,5,8,Energy Saving,High
318,Dishwasher,1538,6.35,6,12,Balanced,Low
319,Microwave,1305,6.38,0,6,High Performance,Medium
320,Dishwasher,1502,7.72,13,20,Energy Saving,High
321,Air Conditioner,1861,3.95,11,14,Energy Saving,High
322,Dishwasher,1750,3.14,21,0,Balanced,High
323,Microwave,1065,2.25,5,7,Balanced,Medium
324,Computer,392,1.28,6,7,Energy Saving,Low
325,Computer,274,1.1,10,11,Balanced,Medium
326,Fridge,193,7.85,21,4,Balanced,High
327,Washing Machine,914,0.61,2,2,Balanced,Medium
328,TV,226,6.53,7,13,Energy Saving,High
329,Fridge,131,6.41,11,17,Balanced,Medium
330,Air Conditioner,2914,5.3,9,14,Energy Saving,High
331,Air Conditioner,2640,4.08,22,2,Energy Saving,Medium
332,Dishwasher,1781,4.62,15,19,Energy Saving,High
333,Washing Machine,804,6.02,1,7,Balanced,Medium
334,Dishwasher,1291,4.59,7,11,Energy Saving,Medium
335,Dishwasher,1505,3.69,23,2,High Performance,Medium
336,Computer,393,4.95,20,0,High Performance,Medium
337,TV,243,1.08,9,10,Balanced,Medium
338,Washing Machine,544,0.85,3,3,Energy Saving,Low
339,TV,153,3.93,8,11,Energy Saving,Medium
340,Fridge,111,5.19,3,8,High Performance,Low
341,Fridge,199,4.52,15,19,Energy Saving,Low
342,Air Conditioner,3405,2.53,15,17,Balanced,Low
343,Fridge,199,6.0,7,13,High Performance,Low
344,Microwave,800,4.38,4,8,Energy Saving,Medium
345,TV,143,1.63,10,11,Energy Saving,Medium
346,Computer,259,1.0,16,17,Energy Saving,High
347,Fridge,119,3.68,11,14,High Performance,Low
348,Heater,1618,6.2,1,7,High Performance,High
349,Washing Machine,913,1.09,12,13,High Performance,High
350,Air Conditioner,2493,7.11,21,4,High Performance,High
351,Heater,1333,7.98,11,18,High Performance,High
352,Fridge,150,3.24,16,19,High Performance,High
353,Heater,1766,0.73,7,7,Energy Saving,Low
354,Microwave,1158,6.69,6,12,High Performance,Low
355,Computer,260,6.12,14,20,Balanced,High
356,Microwave,907,6.99,3,9,Energy Saving,Low
357,Washing Machine,776,3.63,19,22,Energy Saving,Medium
358,Air Conditioner,2502,7.02,17,0,High Performance,Medium
359,TV,123,5.86,20,1,Balanced,Medium
360,Computer,366,7.35,3,10,Energy Saving,High
361,Air Conditioner,2938,7.02,1,8,High Performance,Low
362,Computer,309,2.79,9,11,High Performance,Medium
363,Washing Machine,860,1.65,20,21,Balanced,Low
364,Washing Machine,528,5.26,2,7,Balanced,Medium
365,Air Conditioner,2314,4.79,12,16,High Performance,High
366,Heater,2022,5.39,20,1,Balanced,Low
367,Microwave,1180,7.18,0,7,High Performance,Low
368,Heater,2223,7.42,10,17,Balanced,High
369,Heater,1457,0.92,23,23,Energy Saving,Medium
370,Microwave,1406,4.12,15,19,Energy Saving,Medium
371,Heater,2254,0.9,12,12,Balanced,Low
372,Air Conditioner,1604,2.33,14,16,High Performance,High
373,Fridge,129,2.85,5,7,Energy Saving,Medium
374,Washing Machine,753,5.14,6,11,High Performance,Medium
375,Heater,1934,0.64,19,19,Energy Saving,Low
376,Fridge,181,4.12,0,4,High Performance,High
377,Air Conditioner,1666,7.82,17,0,Balanced,High
378,Air Conditioner,2963,1.58,9,10,Balanced,Medium
379,Fridge,131,7.28,22,5,Energy Saving,Medium
380,Washing Machine,692,1.58,14,15,High Performance,Medium
381,Computer,275,5.74,20,1,Balanced,Low
382,Computer,336,7.77,2,9,Balanced,High
383,Heater,1090,3.54,18,21,Energy Saving,Low
384,Dishwasher,1461,3.46,16,19,High Performance,High
385,Dishwasher,1782,1.85,6,7,Balanced,Low
386,Microwave,1317,4.48,16,20,High Performance,High
387,TV,58,1.08,18,19,Energy Saving,Medium
388,Washing Machine,998,4.7,15,19,Energy Saving,High
389,Fridge,107,0.64,5,5,Energy Saving,Medium
390,Washing Machine,885,1.44,17,18,Energy Saving,Medium
391,Dishwasher,1445,5.66,21,2,High Performance,Low
392,Washing Machine,692,4.53,5,9,Energy Saving,High
393,Microwave,1198,3.44,19,22,Balanced,High
394,Microwave,930,4.15,22,2,High Performance,Medium
395,Air Conditioner,2461,3.05,22,1,High Performance,High
396,TV,355,3.25,1,4,Energy Saving,Medium
397,Computer,228,2.46,1,3,High Performance,Medium
398,Washing Machine,622,4.74,2,6,Balanced,Medium
399,Microwave,947,3.32,11,14,Balanced,Low
400,Heater,1866,7.64,12,19,Energy Saving,Medium
401,Dishwasher,1721,1.65,6,7,Balanced,Low
402,Microwave,1122,6.63,10,16,Energy Saving,Medium
403,Microwave,923,7.34,9,16,Balanced,Medium
404,Air Conditioner,1560,6.29,5,11,Energy Saving,High
405,Microwave,1442,4.58,21,1,Energy Saving,Medium
406,Microwave,814,1.65,18,19,Energy Saving,High
407,Heater,1465,1.56,13,14,Energy Saving,High
408,Heater,2466,1.03,17,18,High Performance,Low
409,Fridge,146,3.1,3,6,High Performance,High
410,Air Conditioner,1650,7.62,15,22,Energy Saving,Medium
411,Heater,1053,7.13,10,17,Balanced,Low
412,Fridge,121,6.5,4,10,High Performance,Low
413,Fridge,148,3.21,3,6,Balanced,Low
414,Fridge,169,6.19,14,20,High Performance,High
415,Washing Machine,702,2.64,6,8,High Performance,Low
416,Fridge,159,3.05,6,9,High Performance,Low
417,Computer,387,1.79,4,5,Balanced,Medium
418,Microwave,935,5.61,16,21,High Performance,Medium
419,Air Conditioner,2360,4.02,9,13,Balanced,High
420,Washing Machine,797,6.35,11,17,High Performance,Medium
421,Dishwasher,1765,2.54,7,9,High Performance,High
422,Microwave,1389,4.55,5,9,Balanced,Medium
423,Heater,1870,3.57,11,14,High Performance,High
424,Fridge,188,5.21,3,8,Energy Saving,High
425,Microwave,1069,7.15,10,17,Balanced,Medium
426,Washing Machine,748,4.69,14,18,Energy Saving,Low
427,TV,234,2.82,4,6,Energy Saving,High
428,Microwave,859,6.08,4,10,Balanced,Low
429,Microwave,894,1.05,18,19,High Performance,Low
430,Dishwasher,1587,7.73,14,21,Energy Saving,Medium
431,Washing Machine,636,6.03,1,7,Balanced,Medium
432,Microwave,1424,3.94,13,16,Balanced,Low
433,Dishwasher,1799,5.75,14,19,Energy Saving,Low
434,Dishwasher,1646,1.58,2,3,Energy Saving,Medium
435,Washing Machine,570,5.36,16,21,Balanced,Medium
436,Fridge,196,1.61,18,19,Energy Saving,High
437,Fridge,187,4.25,21,1,Balanced,Low
438,Fridge,122,4.04,19,23,Balanced,High
439,Fridge,107,5.08,15,20,Energy Saving,Low
440,Fridge,152,5.92,8,13,High Performance,Low
441,Computer,307,4.32,7,11,Balanced,Low
442,Fridge,138,1.15,0,1,Energy Saving,High
443,Heater,1871,6.33,9,15,High Performance,Low
444,Dishwasher,1384,4.75,6,10,High Performance,High
445,Fridge,170,5.78,11,16,Balanced,Low
