Tariff_ID,Timestamp,Tariff_Rate,Tariff_Type,TOU_Period_Start,TOU_Period_End,Weather_Conditions,Grid_Load (MW),Forecasted_Tariff_Rate,Renewable_Energy_Contribution (%)
1,2024-10-01 00:00:00.000,0.17,Peak,23:00:00,03:00:00,Rainy,1123,0.16,56
2,2024-10-01 00:08:55.680,0.18,Off-Peak,18:08:55.680000,05:08:55.680000,Rainy,1039,0.18,46
3,2024-10-01 00:17:51.360,0.16,Super Off-Peak,21:17:51.360000,02:17:51.360000,Cloudy,1597,0.16,48
4,2024-10-01 00:26:47.040,0.13,Mid-Peak,19:26:47.040000,01:26:47.040000,Partly Cloudy,1115,0.12,49
5,2024-10-01 00:35:42.720,0.19,Off-Peak,21:35:42.720000,03:35:42.720000,Partly Cloudy,939,0.2,50
6,2024-10-01 00:44:38.400,0.06,Off-Peak,18:44:38.400000,03:44:38.400000,Partly Cloudy,1720,0.05,37
7,2024-10-01 00:53:34.080,0.2,Mid-Peak,20:53:34.080000,03:53:34.080000,Clear,931,0.21,30
8,2024-10-01 01:02:29.760,0.07,Peak,01:02:29.760000,07:02:29.760000,Windy,1364,0.07,38
9,2024-10-01 01:11:25.440,0.18,Super Off-Peak,21:11:25.440000,02:11:25.440000,Rainy,1332,0.19,22
10,2024-10-01 01:20:21.120,0.15,Super Off-Peak,01:20:21.120000,04:20:21.120000,Rainy,956,0.13,16
11,2024-10-01 01:29:16.800,0.16,Super Off-Peak,00:29:16.800000,05:29:16.800000,Rainy,1646,0.14,56
12,2024-10-01 01:38:12.480,0.1,Mid-Peak,00:38:12.480000,02:38:12.480000,Windy,1122,0.12,54
13,2024-10-01 01:47:08.160,0.18,Super Off-Peak,20:47:08.160000,03:47:08.160000,Partly Cloudy,1230,0.17,35
14,2024-10-01 01:56:03.840,0.15,Peak,23:56:03.840000,06:56:03.840000,Partly Cloudy,1551,0.15,30
15,2024-10-01 02:04:59.520,0.07,Off-Peak,01:04:59.520000,04:04:59.520000,Rainy,1610,0.08,27
